Rec	Cyc	Step	TestTime	StepTime	Amphr	Watthr	Amps	Volts	State	ACImpOhms
197	1	5	0d 03:14:0.00999999977648258	0d 03:13:0.00999999977648258	0.00161	0.00660	0.00050	4.06897	D	2.26676
198	1	5	0d 03:15:0.00999999977648258	0d 03:14:0.00999999977648258	0.00162	0.00663	0.00050	4.06844	D	2.26676
199	1	5	0d 03:16:0.00999999977648258	0d 03:15:0.00999999977648258	0.00163	0.00667	0.00050	4.06813	D	2.26676
200	1	5	0d 03:17:0.00999999977648258	0d 03:16:0.00999999977648258	0.00163	0.00670	0.00050	4.06775	D	2.26676
201	1	5	0d 03:18:0.00999999977648258	0d 03:17:0.00999999977648258	0.00164	0.00674	0.00050	4.06744	D	2.26676
202	1	5	0d 03:19:0.00999999977648258	0d 03:18:0.00999999977648258	0.00165	0.00677	0.00050	4.06722	D	2.26676
203	1	5	0d 03:20:0.00999999977648258	0d 03:19:0.00999999977648258	0.00166	0.00680	0.00050	4.06683	D	2.26676
204	1	5	0d 03:21:0.00999999977648258	0d 03:20:0.00999999977648258	0.00167	0.00684	0.00050	4.06638	D	2.26676
205	1	5	0d 03:22:0.00999999977648258	0d 03:21:0.00999999977648258	0.00168	0.00687	0.00050	4.06607	D	2.26676
206	1	5	0d 03:23:0.00999999977648258	0d 03:22:0.00999999977648258	0.00168	0.00691	0.00050	4.06561	D	2.26676
207	1	5	0d 03:24:0.00999999977648258	0d 03:23:0.00999999977648258	0.00169	0.00694	0.00050	4.06538	D	2.26676
208	1	5	0d 03:25:0.00999999977648258	0d 03:24:0.00999999977648258	0.00170	0.00697	0.00050	4.06500	D	2.26676
209	1	5	0d 03:26:0.00999999977648258	0d 03:25:0.00999999977648258	0.00171	0.00701	0.00050	4.06485	D	2.26676
210	1	5	0d 03:27:0.00999999977648258	0d 03:26:0.00999999977648258	0.00172	0.00704	0.00050	4.06439	D	2.26676
